               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.028373,           0.0095692,           0.0014695,             0.71174,             0.73978,             0.78355,             0.39655,             0.03752,            0.010928,            0.012121,            0.004258,            0.004258,            0.004258
                  89,            0.027618,           0.0085008,           0.0016522,             0.65584,             0.83154,              0.7832,             0.41074,            0.036784,            0.010722,           0.0099264,            0.004192,            0.004192,            0.004192
                  90,            0.028572,           0.0092984,           0.0018399,              0.7476,             0.80929,             0.81998,             0.45312,            0.036706,            0.010167,           0.0082996,            0.004126,            0.004126,            0.004126
                  91,            0.028284,           0.0091259,           0.0014145,             0.80885,             0.78002,             0.84118,             0.46191,            0.036719,           0.0099592,           0.0076282,             0.00406,             0.00406,             0.00406
                  92,            0.027396,           0.0091757,           0.0014778,             0.76343,             0.83215,             0.83503,             0.47141,            0.036271,            0.010066,           0.0062331,            0.003994,            0.003994,            0.003994
                  93,            0.027591,           0.0087546,           0.0014715,             0.83005,             0.76732,             0.83654,             0.44549,            0.036495,            0.010099,            0.007333,            0.003928,            0.003928,            0.003928
                  94,            0.027739,            0.009489,           0.0016707,             0.82053,             0.83154,             0.85946,             0.46033,            0.037019,           0.0099039,           0.0052001,            0.003862,            0.003862,            0.003862
                  95,            0.028069,           0.0088381,           0.0014131,             0.88307,             0.78612,             0.87306,             0.46206,             0.03608,           0.0098413,           0.0051699,            0.003796,            0.003796,            0.003796
                  96,            0.025873,           0.0083715,           0.0012762,             0.92552,             0.77204,             0.88314,             0.46805,            0.036503,           0.0099367,           0.0048026,             0.00373,             0.00373,             0.00373
                  97,            0.027645,           0.0087668,           0.0013271,             0.88235,             0.77366,             0.86743,             0.45699,            0.037869,            0.010014,           0.0047997,            0.003664,            0.003664,            0.003664
                  98,            0.028147,           0.0085458,            0.001422,             0.81009,             0.81636,             0.87709,             0.46091,            0.037364,           0.0099371,           0.0045061,            0.003598,            0.003598,            0.003598
